peak_position_cm1,peak_height,peak_quality,peak_prominence,is_labeled
1215.00,1.000000,strong,0.000000,1
1147.00,0.960039,strong,0.000000,1
3405.00,0.933379,strong,0.000000,1
762.00,0.733836,strong,0.000000,1
1461.00,0.703641,strong,0.000000,1
1489.00,0.650235,strong,0.000000,1
734.00,0.513105,strong,0.000000,1
851.00,0.415699,strong,0.000000,1
1375.00,0.329134,strong,0.000000,1
1625.00,0.313644,strong,0.000000,1
798.00,0.312085,strong,0.000000,1
945.00,0.302343,strong,0.000000,1
1339.00,0.298663,strong,0.000000,1
610.00,0.293663,strong,0.000000,1
1590.00,0.288451,strong,0.000000,1
3247.00,0.272755,strong,0.000000,1
1581.00,0.254598,strong,0.000000,1
1255.00,0.250517,strong,0.000000,1
3459.00,0.239987,strong,0.000000,1
809.00,0.238247,strong,0.000000,1
507.00,0.223340,strong,0.000000,1
3121.00,0.181676,moderate,0.000000,1
1092.00,0.179122,strong,0.000000,1
1126.00,0.172287,strong,0.000000,1
1296.00,0.153222,strong,0.000000,1
894.00,0.149175,strong,0.000000,1
454.00,0.140459,moderate,0.000000,1
1065.00,0.091233,weak,0.000000,1
1417.00,0.089319,weak,0.000000,1
425.00,0.069542,weak,0.000000,1
2860.00,0.062922,weak,0.000000,1
